,Trace length,Activities,Percent count
99,10,Declaration APPROVED by ADMINISTRATION,1.8905472636815919
100,10,Declaration APPROVED by BUDGET OWNER,1.8905472636815919
101,10,Start trip,1.5920398009950247
102,10,Request For Payment APPROVED by ADMINISTRATION,1.4179104477611941
103,10,Request For Payment FINAL_APPROVED by SUPERVISOR,1.0447761194029852
104,10,Request For Payment SUBMITTED by EMPLOYEE,0.9452736318407959
105,10,Request For Payment APPROVED by BUDGET OWNER,0.7960199004975124
106,10,Declaration APPROVED by PRE_APPROVER,0.5223880597014926
107,10,Declaration APPROVED by SUPERVISOR,0.27363184079601993
108,10,Request For Payment APPROVED by PRE_APPROVER,0.27363184079601993
109,10,Request For Payment REJECTED by EMPLOYEE,0.1990049751243781
110,10,Permit APPROVED by ADMINISTRATION,0.12437810945273632
111,10,Permit FINAL_APPROVED by DIRECTOR,0.12437810945273632
112,10,Permit FINAL_APPROVED by SUPERVISOR,0.12437810945273632
113,10,Permit SUBMITTED by EMPLOYEE,0.12437810945273632
114,10,Send Reminder,0.12437810945273632
115,10,Request For Payment FINAL_APPROVED by DIRECTOR,0.09950248756218905
116,10,Request For Payment REJECTED by ADMINISTRATION,0.09950248756218905
117,10,Declaration SAVED by EMPLOYEE,0.0746268656716418
118,10,Permit REJECTED by EMPLOYEE,0.0746268656716418
119,10,Permit APPROVED by SUPERVISOR,0.04975124378109452
120,10,Request For Payment APPROVED by SUPERVISOR,0.04975124378109452
121,10,Permit APPROVED by BUDGET OWNER,0.02487562189054726
122,10,Permit REJECTED by MISSING,0.02487562189054726
123,10,Request For Payment REJECTED by PRE_APPROVER,0.02487562189054726
124,10,Request For Payment REJECTED by SUPERVISOR,0.02487562189054726
